Wing name,Genotype,Intervein area_1,Intervein area_2,Intervein area_3,Intervein area_4,Intervein area_5,Intervein area_6,Intervein area_7,Intervein area_8,Intervein area_9,Intervein area_10,Intervein trichome count_1,Intervein trichome count_2,Intervein trichome count_3,Intervein trichome count_4,Intervein trichome count_5,Intervein trichome count_6,Intervein trichome count_7,Intervein trichome count_8,Intervein trichome count_9,Intervein trichome count_10,Total wing area,Total trichome density,AP axis,PD axis,d(L3-L4)
samw_F_L_oly_4X_12,1,0.222112,0.383456,0.029676,0.4174,0.126176,0.461328,0.524496,0,0,0,1016,1935,158,2142,640,2519,2874,0,0,0,2.415584,5212.866411,1.238342441,2.138116227,0.248845333
samw_F_L_oly_4X_13,1,0.204548,0.37488,0.022376,0.414136,0.119636,0.458308,0.507828,0,0,0,839,1814,103,2036,606,2328,2624,0,0,0,2.338424,4924.556742,1.243697712,2.074222023,0.265699078
samw_F_L_oly_4X_14,1,0.197208,0.359524,0.024544,0.398804,0.109652,0.450096,0.48772,0,0,0,924,1851,129,2135,591,2570,2796,0,0,0,2.268828,5423.299473,1.222620137,2.065933445,0.253432437
samw_F_L_oly_4X_16,1,0.200804,0.374716,0.0226,0.403636,0.111456,0.444616,0.491968,0,0,0,933,2044,121,2205,568,2498,2716,0,0,0,2.279496,5407.855221,1.216973295,2.062047526,0.258565272
samw_F_L_oly_4X_17,1,0.192028,0.3427,0.023472,0.38082,0.107068,0.424392,0.462464,0,0,0,912,1810,127,2007,583,2430,2611,0,0,0,2.16488,5421.78149,1.19772117,2.010732205,0.250008
samw_F_L_oly_4X_18,1,0.210188,0.370912,0.027088,0.40934,0.121988,0.449556,0.514648,0,0,0,994,1922,144,2154,629,2542,2902,0,0,0,2.354276,5365.257734,1.23199026,2.113024846,0.262967679
samw_F_L_oly_4X_19,1,0.224496,0.37974,0.027848,0.416576,0.11948,0.459728,0.547704,0,0,0,1022,1968,159,2180,607,2633,3026,0,0,0,2.422676,5329.632851,1.243170141,2.131220308,0.248845333
samw_F_L_oly_4X_20,1,0.223572,0.39626,0.029052,0.43702,0.128272,0.486948,0.55122,0,0,0,1019,2030,160,2279,663,2678,3061,0,0,0,2.506656,5278.944957,1.260869541,2.177209682,0.2596151
samw_F_L_oly_4X_21,1,0.197884,0.353472,0.024088,0.385016,0.11156,0.427228,0.479028,0,0,0,963,1865,143,2101,597,2539,2687,0,0,0,2.215932,5507.320515,1.19535936,2.040229889,0.255264569
samw_F_L_oly_4X_22,1,0.211192,0.368356,0.026508,0.415404,0.116752,0.448588,0.499828,0,0,0,1001,1965,154,2293,648,2599,2813,0,0,0,2.331592,5498.344698,1.241431432,2.097859147,0.261357992
samw_F_L_oly_4X_23,1,0.193164,0.350044,0.025232,0.384068,0.110648,0.42412,0.474856,0,0,0,923,1911,141,2123,599,2402,2820,0,0,0,2.18354,5564.865157,1.189193004,2.040030637,0.251849161
samw_F_L_oly_4X_24,1,0.228028,0.394076,0.029204,0.428476,0.128924,0.469964,0.564676,0,0,0,1046,2106,165,2244,694,2668,3053,0,0,0,2.492496,5338.449496,1.270464482,2.143185713,0.278179798
samw_F_L_oly_4X_25,1,0.21954,0.37302,0.028,0.421896,0.128608,0.467744,0.574452,0,0,0,1030,1915,154,2220,655,2573,3085,0,0,0,2.45842,5255.595818,1.255710158,2.136747294,0.258712195
samw_F_L_oly_4X_26,1,0.193388,0.349836,0.0234,0.391548,0.11512,0.425416,0.487872,0,0,0,885,1919,121,2034,625,2390,2796,0,0,0,2.214784,5421.377443,1.203970099,2.031427577,0.253432437
samw_F_L_oly_4X_27,1,0.207064,0.348508,0.024708,0.378644,0.11208,0.423356,0.485032,0,0,0,981,1872,129,2040,605,2489,2724,0,0,0,2.210968,5476.429126,1.191872476,2.061494603,0.234350165
samw_F_L_oly_4X_28,1,0.197252,0.351864,0.026012,0.3856,0.108324,0.430904,0.462288,0,0,0,905,1848,153,2038,551,2489,2621,0,0,0,2.201944,5404.526654,1.194294771,2.064029312,0.252174543
samw_F_L_oly_4X_29,1,0.216064,0.37222,0.028124,0.41582,0.121772,0.456604,0.54002,0,0,0,992,1963,166,2209,614,2550,3048,0,0,0,2.396372,5366.814469,1.218400591,2.135049648,0.254243977
samw_F_L_oly_4X_30,1,0.22182,0.375648,0.026772,0.416804,0.121784,0.453768,0.503884,0,0,0,1004,1961,153,2210,659,2582,2759,0,0,0,2.38214,5342.186675,1.250639836,2.133797788,0.272249885
samw_F_L_oly_4X_31,1,0.21362,0.367352,0.025964,0.40974,0.115052,0.47042,0.505448,0,0,0,983,1892,137,2180,580,2606,2813,0,0,0,2.346568,5309.841165,1.232993106,2.107240138,0.255624725
samw_F_L_oly_4X_32,1,0.242148,0.39664,0.030868,0.442336,0.127956,0.487824,0.56682,0,0,0,1139,2037,164,2335,660,2658,3097,0,0,0,2.553352,5268.910551,1.27763062,2.207173985,0.274961816
samw_F_L_oly_4X_33,1,0.227584,0.393748,0.028488,0.439728,0.1339,0.482468,0.556928,0,0,0,1043,1975,154,2280,707,2624,3026,0,0,0,2.514376,5218.654048,1.284749003,2.184835463,0.252174543
samw_F_L_oly_4X_34,1,0.1997,0.347684,0.026876,0.404348,0.113168,0.432632,0.488456,0,0,0,920,1831,151,2188,602,2531,2815,0,0,0,2.248536,5483.728657,1.21526458,2.063090158,0.254031494
samw_F_L_oly_4X_35,1,0.193424,0.340048,0.023128,0.376236,0.106388,0.425524,0.4672,0,0,0,949,1859,137,2049,574,2487,2722,0,0,0,2.164844,5578.307491,1.19507322,2.012260917,0.237697286
samw_F_L_oly_4X_36,1,0.245644,0.414156,0.031452,0.461724,0.143796,0.499332,0.582032,0,0,0,1118,2157,170,2477,749,2711,3014,0,0,0,2.649672,5212.485745,1.309564813,2.241100176,0.264801813
samw_F_L_oly_4X_37,1,0.236008,0.399424,0.027896,0.443104,0.130048,0.490204,0.559964,0,0,0,1049,2092,154,2284,680,2738,3103,0,0,0,2.548568,5291.588386,1.292818626,2.19295326,0.262206026
samw_F_L_oly_4X_38,1,0.234456,0.393208,0.02814,0.429676,0.129468,0.483092,0.54978,0,0,0,1104,2061,155,2245,677,2608,3018,0,0,0,2.502816,5279.782189,1.273057736,2.177598907,0.265216892
samw_F_L_oly_4X_39,1,0.226232,0.377164,0.02862,0.424268,0.122232,0.474876,0.538868,0,0,0,1064,1940,151,2196,631,2685,2981,0,0,0,2.443844,5313.238393,1.271421252,2.156817331,0.254243977
samw_F_L_oly_4X_40,1,0.21364,0.386116,0.024552,0.428428,0.123688,0.47568,0.534084,0,0,0,962,2003,119,2204,661,2529,2834,0,0,0,2.434688,5174.303399,1.276385522,2.156706981,0.250599282
samw_F_L_oly_4X_41,1,0.21702,0.375844,0.02636,0.403624,0.131044,0.442144,0.537624,0,0,0,1027,1961,150,2137,666,2425,2985,0,0,0,2.37814,5319.96663,1.222713376,2.125028235,0.249230817
samw_F_L_oly_4X_42,1,0.221396,0.39076,0.028148,0.431168,0.12454,0.48156,0.541096,0,0,0,1036,2028,147,2266,654,2611,2965,0,0,0,2.473404,5276.589377,1.276296204,2.151117152,0.264068173
samw_F_L_oly_4X_43,1,0.21052,0.36978,0.025072,0.40682,0.11982,0.458468,0.502968,0,0,0,975,1886,127,2088,646,2642,2768,0,0,0,2.329828,5317.543115,1.237560504,2.097759996,0.241080899
samw_F_L_oly_4X_44,1,0.198652,0.335056,0.022416,0.388916,0.103492,0.416408,0.461208,0,0,0,990,1728,129,2118,552,2307,2660,0,0,0,2.166216,5442.987766,1.198185295,2.042904795,0.248781028
samw_F_L_oly_4X_45,1,0.20456,0.37144,0.026384,0.405596,0.11654,0.454972,0.503972,0,0,0,984,2009,140,2175,629,2601,2885,0,0,0,2.320504,5482.696125,1.240983481,2.103571487,0.264196896
samw_F_L_oly_4X_46,1,0.216788,0.383064,0.0258,0.416376,0.119864,0.460824,0.528332,0,0,0,1018,2031,145,2209,654,2503,2927,0,0,0,2.394644,5340.187667,1.254039872,2.135394109,0.264847126
samw_F_L_oly_4X_47,1,0.195872,0.3548,0.023432,0.384672,0.106864,0.422768,0.449376,0,0,0,945,1825,132,2070,563,2456,2608,0,0,0,2.171576,5469.649868,1.197390496,2.019783157,0.254243977
samw_F_L_oly_4X_49,1,0.214092,0.36534,0.025968,0.412856,0.12528,0.464008,0.520208,0,0,0,984,1938,148,2185,670,2692,2897,0,0,0,2.370216,5411.344931,1.236462697,2.124041431,0.249551598
samw_F_L_oly_4X_50,1,0.22216,0.38448,0.029564,0.428444,0.124504,0.4747,0.529544,0,0,0,1008,2079,158,2250,651,2615,2870,0,0,0,2.444868,5302.736031,1.253425706,2.16461567,0.255812431
samw_F_L_oly_4X_51,1,0.218244,0.386528,0.029852,0.4225,0.1281,0.46486,0.533084,0,0,0,1005,2041,165,2262,682,2561,2951,0,0,0,2.438756,5344.068803,1.248924337,2.134208284,0.266308092
samw_F_L_oly_4X_52,1,0.20956,0.377496,0.02466,0.416144,0.120368,0.45858,0.488032,0,0,0,981,2026,133,2218,670,2672,2807,0,0,0,2.346328,5493.020947,1.248925939,2.118074833,0.27840977
samw_F_L_oly_4X_53,1,0.206308,0.360012,0.024152,0.400256,0.111384,0.443716,0.498652,0,0,0,964,1860,126,2125,596,2513,2779,0,0,0,2.281584,5362.2437,1.23379739,2.062379451,0.263856021
samw_F_L_oly_4X_54,1,0.21698,0.375296,0.028552,0.418208,0.120168,0.4774,0.508564,0,0,0,1040,2016,176,2181,642,2707,2918,0,0,0,2.387444,5444.795,1.265273093,2.122342574,0.251849161
samw_F_L_oly_4X_55,1,0.198432,0.363676,0.024204,0.39786,0.11266,0.448752,0.478168,0,0,0,922,1892,122,2156,584,2585,2626,0,0,0,2.260748,5379.611731,1.231462545,2.051115794,0.257720779
samw_F_L_oly_4X_56,1,0.216092,0.372252,0.02744,0.41684,0.116824,0.462356,0.5224,0,0,0,1007,1934,151,2198,613,2617,2900,0,0,0,2.378904,5350.941147,1.232551824,2.126590699,0.266660833
samw_F_L_oly_4X_57,1,0.211612,0.379936,0.0241,0.43808,0.11876,0.476308,0.5182,0,0,0,992,1993,135,2305,626,2628,2825,0,0,0,2.413288,5308.731534,1.257584987,2.138445463,0.270007407
samw_F_L_oly_4X_58,1,0.222332,0.372824,0.025976,0.419296,0.132336,0.465288,0.547908,0,0,0,1047,1964,153,2264,713,2613,3076,0,0,0,2.4311,5411.809914,1.266105841,2.122559304,0.258154992
samw_F_L_oly_4X_59,1,0.208472,0.363656,0.025388,0.409496,0.117796,0.439888,0.521632,0,0,0,950,1914,132,2035,611,2408,2933,0,0,0,2.339556,5264.272924,1.219509738,2.124245278,0.258503385
samw_F_L_oly_4X_60,1,0.187664,0.336524,0.021868,0.377736,0.100476,0.416576,0.446064,0,0,0,903,1747,123,2076,526,2336,2546,0,0,0,2.110812,5435.877107,1.181988156,1.990369312,0.248965861
samw_F_L_oly_4X_61,1,0.186856,0.340336,0.0236,0.37424,0.100012,0.401376,0.441172,0,0,0,905,1845,138,2086,538,2344,2529,0,0,0,2.109524,5560.63637,1.171723517,2.018060951,0.261090023
samw_F_L_oly_4X_62,1,0.204196,0.354304,0.025036,0.395064,0.10946,0.426004,0.489448,0,0,0,957,1869,132,2087,585,2547,2772,0,0,0,2.23628,5464.903629,1.193170566,2.061848928,0.25225384
samw_F_L_oly_4X_64,1,0.235032,0.387968,0.03098,0.431652,0.122384,0.475576,0.543108,0,0,0,1089,2007,170,2286,647,2632,3070,0,0,0,2.482948,5344.680469,1.266909626,2.154240702,0.250319795
samw_F_L_oly_4X_67,1,0.213796,0.359024,0.024828,0.404864,0.117232,0.443376,0.50214,0,0,0,1075,1974,143,2224,610,2550,2858,0,0,0,2.306156,5536.348934,1.233661218,2.114507271,0.239733185
samw_F_L_oly_4X_68,1,0.214076,0.370948,0.02416,0.41446,0.122048,0.46326,0.501756,0,0,0,1000,1978,124,2290,654,2645,2839,0,0,0,2.348872,5462.622021,1.24106406,2.133813956,0.246260025
samw_F_L_oly_4X_69,1,0.2208,0.377576,0.024876,0.42044,0.124508,0.474924,0.541332,0,0,0,1030,1941,129,2190,644,2639,2943,0,0,0,2.44388,5271.793069,1.259768233,2.166449861,0.262366156
samw_F_L_oly_4X_78,1,0.220132,0.363188,0.027216,0.414788,0.118168,0.463828,0.51004,0,0,0,1009,1827,139,2165,594,2464,2822,0,0,0,2.361532,5204.594401,1.243083264,2.118180351,0.262206026
samw_F_L_oly_4X_79,1,0.227552,0.387176,0.029556,0.422508,0.124108,0.475196,0.517568,0,0,0,1009,1956,147,2194,610,2481,2751,0,0,0,2.444008,5105.181017,1.274715655,2.162811596,0.257029181
samw_F_L_oly_4X_80,1,0.220924,0.380724,0.0273,0.424408,0.124808,0.47472,0.533116,0,0,0,1032,2031,144,2223,640,2626,3023,0,0,0,2.428868,5360.933211,1.24890512,2.14248944,0.254636997
samw_F_L_oly_4X_81,1,0.159116,0.304804,0.020028,0.335872,0.08706,0.3736,0.37916,0,0,0,763,1668,118,1867,489,2172,2166,0,0,0,1.879612,5569.280085,1.098313252,1.889562119,0.246130047
samw_F_L_oly_4X_82,1,0.217056,0.378584,0.027824,0.421548,0.124376,0.459808,0.541348,0,0,0,972,1964,160,2270,651,2684,3050,0,0,0,2.414236,5413.850168,1.238568529,2.131142651,0.249230817
samw_F_L_oly_4X_84,1,0.210872,0.372928,0.025508,0.408684,0.118232,0.448964,0.523572,0,0,0,988,1927,134,2116,607,2448,3043,0,0,0,2.354548,5341.05351,1.232366829,2.108273464,0.253692728
samw_F_L_oly_4X_85,1,0.14572,0.271648,0.017864,0.300096,0.07924,0.330652,0.35082,0,0,0,692,1467,105,1681,435,1953,2065,0,0,0,1.706804,5613.48627,1.040148066,1.787251801,0.230763949
samw_F_L_oly_4X_86,1,0.17466,0.320412,0.020964,0.347644,0.09368,0.379704,0.396284,0,0,0,851,1728,124,1926,532,2236,2323,0,0,0,1.953732,5607.644858,1.139097889,1.917761716,0.251602862
samw_F_L_oly_4X_87,1,0.227,0.378532,0.027404,0.42358,0.120328,0.457604,0.536216,0,0,0,1048,2001,143,2247,624,2528,3039,0,0,0,2.416092,5357.807565,1.250921261,2.136298902,0.254275441
samw_F_L_oly_4X_88,1,0.190564,0.341988,0.02118,0.382472,0.101656,0.42936,0.452304,0,0,0,913,1865,123,2138,579,2580,2668,0,0,0,2.153772,5660.778401,1.196528311,2.013993297,0.243261177
samw_F_L_oly_4X_89,1,0.202472,0.309824,0.048816,0.393232,0.111972,0.434324,0.47822,0,0,0,942,1661,238,2130,596,2509,2640,0,0,0,2.241032,5415.239077,1.22196563,1.637293498,0.253250864
samw_F_L_oly_4X_90,1,0.183548,0.319636,0.022196,0.356572,0.09752,0.392092,0.429868,0,0,0,886,1685,124,1958,544,2273,2569,0,0,0,2.031872,5572.788759,1.150432962,1.953865144,0.250319795
samw_F_L_oly_4X_92,1,0.1843,0.322304,0.02266,0.367324,0.095896,0.397548,0.435952,0,0,0,875,1764,135,2032,524,2349,2549,0,0,0,2.040228,5601.363429,1.160491275,1.972796239,0.242668498
samw_F_L_oly_4X_93,1,0.205536,0.358976,0.025232,0.39082,0.11474,0.44208,0.491748,0,0,0,974,1982,146,2158,614,2604,2892,0,0,0,2.25806,5603.38115,1.208691855,2.063386779,0.255068618
samw_F_L_oly_4X_94,1,0.219668,0.370056,0.025596,0.411916,0.118556,0.447608,0.519956,0,0,0,1001,1974,143,2159,647,2573,2989,0,0,0,2.351472,5434.95748,1.221255092,2.071410148,0.256780062
samw_F_L_oly_4X_95,1,0.205828,0.364008,0.025584,0.406432,0.117856,0.429728,0.488712,0,0,0,971,1951,157,2204,646,2494,2825,0,0,0,2.275976,5518.735636,1.216713606,2.080907735,0.264847126
