Wing name,Genotype,Intervein area_1,Intervein area_2,Intervein area_3,Intervein area_4,Intervein area_5,Intervein area_6,Intervein area_7,Intervein area_8,Intervein area_9,Intervein area_10,Trichome density Intervein_1,Trichome density Intervein_2,Trichome density Intervein_3,Trichome density Intervein_4,Trichome density Intervein_5,Trichome density Intervein_6,Trichome density Intervein_7,Trichome density Intervein_8,Trichome density Intervein_9,Trichome density Intervein_10,Wing area,Total Trichome density,AP axis,PD axis,d(L3-L4)
samw_F_L_oly_4X_12,Female,51969,93569,7434,102726,31505,113485,129911,0,0,0,989,1899,161,2117,637,2494,2863,0,0,0,601658,0.021032833,615.5038586,1071.601255,122.7762192
samw_F_L_oly_4X_13,Female,48598,91921,6539,101858,30512,110494,127881,0,0,0,835,1801,133,2019,616,2246,2650,0,0,0,595091,0.019891735,618.5466838,1067.524824,130.678996
samw_F_L_oly_4X_14,Female,45889,87967,6229,98165,27848,110970,122082,0,0,0,895,1822,137,2095,610,2554,2802,0,0,0,568198,0.021867174,608.2515927,1037.983863,124.2336508
samw_F_L_oly_4X_16,Female,47483,91685,6390,99368,28911,109639,124117,0,0,0,909,2012,142,2181,592,2476,2749,0,0,0,577392,0.021791081,602.1901693,1051.369702,128.8099375
samw_F_L_oly_4X_17,Female,45285,83970,6049,94173,26994,104829,115625,0,0,0,888,1784,141,1997,592,2417,2630,0,0,0,541292,0.021909105,596.8885993,1013.921718,123.6931688
samw_F_L_oly_4X_18,Female,49304,91245,6998,100169,30829,111197,129059,0,0,0,957,1906,154,2113,640,2522,2934,0,0,0,587900,0.021638355,614.0757282,1064.237873,130.6139349
samw_F_L_oly_4X_19,Female,50266,91380,6888,102228,29867,113847,138198,0,0,0,941,1906,158,2144,607,2604,3063,0,0,0,604901,0.021444636,613.7393584,1074.528385,128.7050893
samw_F_L_oly_4X_20,Female,52674,96510,7421,107696,31987,120147,139256,0,0,0,997,1989,167,2254,666,2645,3114,0,0,0,628824,0.021292409,630.4363568,1096.365815,127.2242115
samw_F_L_oly_4X_21,Female,45280,85663,5934,94769,27913,106185,121469,0,0,0,907,1813,139,2062,598,2510,2755,0,0,0,552433,0.022134056,593.4104819,1020.570674,120.1540678
samw_F_L_oly_4X_22,Female,47868,87732,6858,101747,28679,111391,126539,0,0,0,921,1854,157,2249,629,2579,2857,0,0,0,583532,0.022015841,617.1199235,1053.450758,136.0147051
samw_F_L_oly_4X_23,Female,45169,84578,6447,94412,26937,104972,119774,0,0,0,893,1845,145,2086,579,2379,2853,0,0,0,548270,0.022351743,593.4930497,1027.223077,119.9708298
samw_F_L_oly_4X_26,Female,45087,85710,5770,96348,28597,104767,121813,0,0,0,854,1892,128,2006,619,2367,2818,0,0,0,552439,0.021889316,596.5115255,1020.337322,123.6931688
samw_F_L_oly_4X_27,Female,48118,84990,6328,93408,27764,104066,120680,0,0,0,936,1836,139,2021,601,2451,2726,0,0,0,552956,0.022066368,589.8889726,1036.826408,115.1694404
samw_F_L_oly_4X_28,Female,46254,86343,6199,94475,26656,106228,115738,0,0,0,884,1830,148,2009,545,2474,2631,0,0,0,548577,0.021832647,592.7065041,1027.991367,122.5601893
samw_F_L_oly_4X_29,Female,50951,90545,7425,102464,30746,112817,136653,0,0,0,973,1923,182,2189,627,2525,3098,0,0,0,611457,0.021664745,609.3808333,1082.736002,126.7162184
samw_F_L_oly_4X_30,Female,51982,90603,6709,102588,30274,111665,126640,0,0,0,970,1896,154,2181,650,2556,2790,0,0,0,596366,0.02151362,620.8969319,1061.171287,131.3087964
samw_F_L_oly_4X_31,Female,50513,89883,6941,101135,29040,116032,127141,0,0,0,957,1858,150,2167,592,2585,2865,0,0,0,589020,0.021460192,617.7904175,1063.602369,123.6486959
samw_F_L_oly_4X_34,Female,46476,84648,6657,99542,28167,106502,121670,0,0,0,877,1805,151,2160,598,2502,2821,0,0,0,561662,0.022108244,603.1757621,1039.415701,124.6154084
samw_F_L_oly_4X_35,Female,44943,83270,5572,93028,26521,104849,115228,0,0,0,913,1836,133,2036,578,2458,2697,0,0,0,537950,0.022498421,592.558014,1004.870763,116.6190379
samw_F_L_oly_4X_36,Female,56440,99559,7581,113350,35060,123898,146263,0,0,0,1039,2068,166,2430,732,2678,3041,0,0,0,660319,0.020877745,648.2777183,1125.888538,139.778396
samw_F_L_oly_4X_37,Female,55840,96924,7160,108699,32559,121768,141595,0,0,0,1030,2025,154,2243,678,2712,3144,0,0,0,638881,0.021231257,643.6590712,977.3746723,138.8272308
samw_F_L_oly_4X_38,Female,54797,95205,6975,105919,32318,119779,139075,0,0,0,1064,2003,153,2221,669,2582,3062,0,0,0,627244,0.021214003,629.850776,1090.913035,124.2336508
samw_F_L_oly_4X_39,Female,53456,91159,7342,104501,29982,117846,136312,0,0,0,1046,1886,155,2151,616,2660,3006,0,0,0,612467,0.021309735,629.0476929,1095.662471,118.7013058
samw_F_L_oly_4X_40,Female,50325,94504,6670,105455,31198,117840,135447,0,0,0,946,1974,134,2163,677,2502,2872,0,0,0,611584,0.020811209,631.0126782,1096.294326,118.1058847
samw_F_L_oly_4X_41,Female,50943,90626,6688,98516,32898,110509,135985,0,0,0,983,1886,149,2085,670,2427,3034,0,0,0,595913,0.021350717,606.8673661,1065.062087,116.24543
samw_F_L_oly_4X_43,Female,49625,90649,6537,100410,30389,113127,126100,0,0,0,944,1865,139,2065,661,2615,2799,0,0,0,584017,0.021453572,610.7642753,1058.338911,118.3089177
samw_F_L_oly_4X_44,Female,46382,77439,5597,95487,25604,102659,113395,0,0,0,962,1623,134,2087,536,2274,2605,0,0,0,542775,0.021907009,595.2218074,997.9992485,128.4717868
samw_F_L_oly_4X_45,Female,48322,90136,6861,99760,28664,112203,125407,0,0,0,968,1964,156,2144,622,2581,2887,0,0,0,581236,0.022141261,613.5796607,1056.802725,129.4681428
samw_F_L_oly_4X_46,Female,50751,92639,6883,101918,29794,114258,133021,0,0,0,971,1960,158,2161,646,2484,2971,0,0,0,601458,0.021446764,627.0948892,1067.288269,121.8523697
samw_F_L_oly_4X_47,Female,45877,86561,6162,95003,26686,104288,112222,0,0,0,904,1792,151,2056,578,2433,2610,0,0,0,541658,0.022072194,596.3958417,1014.209175,124.0846485
samw_F_L_oly_4X_49,Female,50479,89408,6712,101517,31477,114332,130825,0,0,0,964,1915,156,2162,680,2666,2950,0,0,0,595368,0.021901858,613.2226349,1065.647221,121.2476804
samw_F_L_oly_4X_50,Female,52923,94179,7663,105299,31398,117141,132191,0,0,0,998,2054,173,2217,664,2595,2880,0,0,0,611482,0.021414809,624.8367787,1089.638702,125.7060062
samw_F_L_oly_4X_52,Female,47886,91945,6209,101952,29841,113083,121425,0,0,0,923,1989,140,2185,670,2645,2818,0,0,0,584945,0.022192251,621.3952044,808.623831,136.5650028
samw_F_L_oly_4X_53,Female,49254,88163,6348,98151,28540,109582,124631,0,0,0,950,1832,141,2096,619,2497,2794,0,0,0,573120,0.021655778,611.3362414,1051.092051,130.1460718
samw_F_L_oly_4X_55,Female,46909,88684,6523,97873,28747,110727,120046,0,0,0,901,1856,146,2125,606,2560,2660,0,0,0,569006,0.021729338,615.8222146,1047.418851,126.2101422
samw_F_L_oly_4X_56,Female,50652,90926,7042,102306,29524,114116,130753,0,0,0,971,1904,162,2165,626,2589,2909,0,0,0,596171,0.021560233,611.280623,1065.442631,130.6139349
samw_F_L_oly_4X_57,Female,49550,93022,6490,108378,30563,117801,130357,0,0,0,949,1958,154,2264,641,2600,2849,0,0,0,606471,0.021290247,621.3831346,1090.931024,131.4724306
samw_F_L_oly_4X_59,Female,49432,88956,6521,99594,29508,108710,130961,0,0,0,931,1899,142,1986,618,2388,2961,0,0,0,588787,0.021268022,608.2104899,1073.709924,125.23977
samw_F_L_oly_4X_60,Female,43752,82277,5642,93002,25322,102725,111841,0,0,0,866,1714,133,2050,534,2320,2566,0,0,0,528689,0.021919619,583.9529091,1001.842553,121.4619282
samw_F_L_oly_4X_61,Female,43776,83269,5976,92182,24917,98759,108836,0,0,0,884,1819,144,2061,539,2322,2496,0,0,0,521182,0.022426619,574.7808278,1012.616043,127.9453008
samw_F_L_oly_4X_62,Female,48141,86673,6532,97691,27711,105251,121422,0,0,0,934,1832,145,2069,599,2527,2765,0,0,0,560171,0.022031896,593.0059022,1033.38594,122.102416
samw_F_L_oly_4X_64,Female,54282,93794,8199,106505,30801,118158,135728,0,0,0,1032,1948,183,2257,644,2617,3070,0,0,0,620508,0.021464307,626.4630875,1090.080043,118.92855
samw_F_L_oly_4X_66,Female,49690,87473,0,99862,28462,11746,126201,0,0,0,948,1809,0,2074,612,230,2880,0,0,0,579110,0.021364031,0,0,0
samw_F_L_oly_4X_67,Female,50097,86990,5907,99813,29439,110047,127113,0,0,0,1046,1922,134,2187,620,2523,2907,0,0,0,576871,0.022259259,607.6750777,1054.792041,128.1600562
samw_F_L_oly_4X_68,Female,50518,90307,6086,102080,29972,113058,125502,0,0,0,980,1951,129,2268,645,2597,2862,0,0,0,587092,0.022089839,615.5525973,1072.42762,122.4295716
samw_F_L_oly_4X_69,Female,52164,91754,6356,103045,30971,116095,134978,0,0,0,1013,1903,141,2149,650,2600,2966,0,0,0,608077,0.021335057,625.7315718,1090.541379,130.6139349
samw_F_L_oly_4X_78,Female,51905,88625,7098,102532,29878,114485,127096,0,0,0,990,1801,155,2143,609,2443,2822,0,0,0,592287,0.021017256,615.1625801,1060.058135,126.2893503
samw_F_L_oly_4X_79,Female,53635,94934,7381,103474,30908,116906,128123,0,0,0,989,1933,153,2147,617,2454,2734,0,0,0,608406,0.020597317,632.9423354,1074.947673,125.9364919
samw_F_L_oly_4X_80,Female,51865,92588,7155,104411,31398,116832,133514,0,0,0,1006,1991,159,2184,652,2598,3058,0,0,0,607940,0.021660099,622.8523099,1086.961361,124.8078523
samw_F_L_oly_4X_81,Female,37009,74279,5027,82715,21689,92282,94947,0,0,0,735,1632,121,1848,493,2141,2175,0,0,0,468873,0.022417073,548.4569263,954.1259089,121.0784869
samw_F_L_oly_4X_82,Female,50617,91656,7213,103608,31294,114187,137054,0,0,0,927,1906,168,2227,657,2657,3101,0,0,0,605698,0.021737061,612.7650447,1075.253691,116.4560003
samw_F_L_oly_4X_84,Female,49548,91583,6636,100666,29678,110688,132221,0,0,0,947,1907,151,2087,615,2420,3098,0,0,0,589930,0.021544279,615.8027282,1062.959077,125.5388386
samw_F_L_oly_4X_85,Female,33718,65956,4504,73767,19458,80933,86570,0,0,0,658,1436,111,1661,425,1915,2027,0,0,0,421855,0.022561975,517.8590542,895.0988772,113.1591799
samw_F_L_oly_4X_86,Female,40877,78152,5503,85541,23675,93698,101650,0,0,0,825,1693,130,1899,544,2208,2398,0,0,0,492313,0.022598673,563.1846944,967.7376969,121.0784869
samw_F_L_oly_4X_87,Female,53395,92233,7016,104611,30188,113205,134452,0,0,0,1012,1953,152,2229,634,2499,3088,0,0,0,604271,0.02161652,616.0324667,1071.353,120.2081528
samw_F_L_oly_4X_88,Female,43815,82430,5387,93839,25672,106338,112714,0,0,0,866,1794,126,2104,580,2547,2669,0,0,0,538430,0.022726741,592.7039733,1016.469503,131.3202193
samw_F_L_oly_4X_89,Female,36203,74550,11901,97217,28208,107743,120736,0,0,0,680,1596,234,2110,599,2499,2682,0,0,0,561877,0.021823157,605.1528732,815.1128756,117.7454882
samw_F_L_oly_4X_90,Female,42987,77443,5734,87321,24093,96172,106100,0,0,0,853,1646,134,1922,545,2235,2538,0,0,0,503453,0.022446289,570.4068723,979.8596838,121.6305883
samw_F_L_oly_4X_92,Female,42184,77180,5868,90166,23478,98154,108726,0,0,0,824,1697,144,1993,523,2321,2555,0,0,0,511430,0.022561671,574.7112318,989.7657551,116.8674463
samw_F_L_oly_4X_93,Female,48231,86797,6475,96153,28347,109112,122350,0,0,0,939,1927,152,2125,618,2566,2884,0,0,0,563041,0.022536259,597.6897188,1037.944724,122.9308749
samw_F_L_oly_4X_94,Female,51579,88943,6814,101577,30130,110844,130787,0,0,0,968,1901,157,2134,657,2549,3026,0,0,0,590785,0.021879333,610.201606,1052.389899,119.6411301
samw_F_L_oly_4X_95,Female,48318,88643,6679,100614,29795,106331,123362,0,0,0,943,1902,170,2185,655,2470,2868,0,0,0,570639,0.022219708,603.8484909,1055.847172,127.2360012
samw_M_L_oly_4X_10,Male,39381,73482,5216,82495,23502,90405,99040,0,0,0,822,1673,139,1870,551,2197,2391,0,0,0,472624,0.023319251,555.1549333,947.2563011,115.9525765
samw_M_L_oly_4X_11,Male,42872,77269,5874,86539,24078,95617,107330,0,0,0,885,1558,149,1946,527,2244,2555,0,0,0,499511,0.022439652,563.5494654,972.5703059,121.3342491
samw_M_L_oly_4X_12,Male,43649,77891,5610,87170,24393,94071,106842,0,0,0,867,1724,128,1939,547,2199,2462,0,0,0,502853,0.022441803,567.8344829,973.2893968,120.9049213
samw_M_L_oly_4X_13,Male,39524,71901,5201,80723,21860,88709,96193,0,0,0,817,1650,135,1877,507,2243,2373,0,0,0,462269,0.023760798,550.0409076,927.0302045,111.0855526
samw_M_L_oly_4X_14,Male,40395,74251,5053,84331,23174,87799,99890,0,0,0,818,1654,128,1925,522,2108,2409,0,0,0,475903,0.023051727,550.0709045,945.3201839,118.1058847
samw_M_L_oly_4X_15,Male,42879,77678,5147,87834,25558,93837,105301,0,0,0,852,1766,123,1961,561,2145,2535,0,0,0,500414,0.022688792,573.2468927,965.6772235,121.3342491
samw_M_L_oly_4X_16,Male,40534,75504,5356,83896,23887,89850,100393,0,0,0,850,1725,137,1955,547,2198,2447,0,0,0,479501,0.023506271,558.9391738,947.1326465,124.3905141
samw_M_L_oly_4X_17,Male,41194,72294,5590,83947,22355,92056,99137,0,0,0,881,1634,135,1914,510,2212,2353,0,0,0,476940,0.023138802,557.1355311,948.4189475,116.6190379
samw_M_L_oly_4X_18,Male,38772,70904,4879,81318,20348,87074,96342,0,0,0,817,1648,117,1890,490,2094,2326,0,0,0,459095,0.023476305,555.8273113,923.5152949,132.9661611
samw_M_L_oly_4X_19,Male,40612,73158,5020,84982,22116,91579,100016,0,0,0,838,1667,131,1945,512,2252,2465,0,0,0,474760,0.023497963,558.6134621,952.8567573,121.7415295
samw_M_L_oly_4X_2,Male,41933,75409,5454,84287,22835,94617,101249,0,0,0,888,1737,134,1949,539,2286,2452,0,0,0,483812,0.023450858,565.5528269,956.0597523,116.2755348
samw_M_L_oly_4X_20,Male,43596,75831,5253,88191,24486,92832,104421,0,0,0,913,1684,130,2002,565,2255,2476,0,0,0,495282,0.023066657,567.490088,967.8172606,114.5425685
samw_M_L_oly_4X_21,Male,43260,77603,5505,84979,24530,93215,105220,0,0,0,887,1720,144,1935,558,2262,2503,0,0,0,495984,0.023045645,570.3069349,966.2724771,119.8540779
samw_M_L_oly_4X_22,Male,40036,72439,5107,80535,21082,88087,95570,0,0,0,846,1651,126,1856,490,2072,2341,0,0,0,462952,0.023288719,557.3553624,915.4557608,122.8006515
samw_M_L_oly_4X_23,Male,39765,70236,5090,81088,22014,89328,97106,0,0,0,863,1639,131,1905,497,2240,2408,0,0,0,461302,0.023930682,550.2372216,933.4463027,116.4817582
samw_M_L_oly_4X_24,Male,40783,73077,5470,83996,23671,90965,100933,0,0,0,824,1617,137,1883,543,2164,2424,0,0,0,481097,0.02289834,553.5991329,944.4207219,120.5404496
samw_M_L_oly_4X_25,Male,38986,70888,5052,80675,22024,89572,95600,0,0,0,806,1636,123,1883,539,2197,2345,0,0,0,463599,0.023657078,548.3228976,942.2930807,112.0044642
samw_M_L_oly_4X_26,Male,42759,75543,5497,86139,22861,92901,101893,0,0,0,897,1728,141,2033,514,2285,2495,0,0,0,486440,0.023604222,554.9099026,954.1589228,119.6202324
samw_M_L_oly_4X_27,Male,39599,72491,5251,82648,21679,89266,98427,0,0,0,842,1664,134,1895,490,2163,2441,0,0,0,465615,0.023522026,550.4407325,925.6370779,114.5862121
samw_M_L_oly_4X_28,Male,40533,75956,5366,85486,22850,91504,99363,0,0,0,839,1744,140,1968,515,2279,2407,0,0,0,480568,0.0234932,555.5771774,946.828918,121.0784869
samw_M_L_oly_4X_29,Male,38784,73026,4952,82035,22554,88942,96894,0,0,0,815,1648,120,1902,529,2207,2379,0,0,0,466940,0.023576391,564.5538061,925.0844556,135.3403118
samw_M_L_oly_4X_3,Male,41131,74790,5754,84334,22706,93473,99700,0,0,0,853,1658,143,1927,529,2256,2432,0,0,0,480908,0.023224173,567.4169543,943.2254503,114.0175425
samw_M_L_oly_4X_30,Male,37671,68508,4763,77194,19222,83830,85053,0,0,0,831,1571,123,1799,434,2074,2187,0,0,0,434925,0.023971338,537.0325875,905.3100298,115.4512884
samw_M_L_oly_4X_31,Male,42885,76889,5384,87655,24081,92751,102468,0,0,0,908,1757,133,2013,582,2270,2471,0,0,0,492923,0.023452199,568.0739388,965.9871894,123.5677952
samw_M_L_oly_4X_32,Male,39166,72941,5192,82784,21425,91015,96576,0,0,0,850,1641,134,1904,487,2231,2394,0,0,0,467582,0.023566423,551.5432893,936.6773724,123.1300126
samw_M_L_oly_4X_34,Male,41510,73073,5599,83546,23236,89537,100648,0,0,0,872,1629,127,1878,516,2164,2410,0,0,0,478453,0.023003771,555.5627777,952.3772887,110.571244
samw_M_L_oly_4X_35,Male,44464,79702,5422,89883,25373,97327,109456,0,0,0,910,1783,124,2058,580,2293,2525,0,0,0,514880,0.022746647,576.9662035,982.2143351,122.7721467
samw_M_L_oly_4X_36,Male,36339,66913,4580,76329,19026,83613,86480,0,0,0,791,1538,116,1758,451,1999,2082,0,0,0,432357,0.023400664,532.0225559,893.7116425,115.8706175
samw_M_L_oly_4X_37,Male,46405,84218,6008,92979,26136,99188,110191,0,0,0,916,1813,139,2047,566,2246,2484,0,0,0,530896,0.021953238,587.1507473,992.5171283,121.6716894
samw_M_L_oly_4X_38,Male,39662,74342,5086,83008,22628,89551,99744,0,0,0,838,1728,133,1917,519,2227,2453,0,0,0,471890,0.023706527,560.8217186,932.5604538,123.4382437
samw_M_L_oly_4X_39,Male,41718,77843,5655,88876,23869,97689,107079,0,0,0,859,1822,131,2012,544,2356,2572,0,0,0,504465,0.023255761,573.2939909,970.4907264,120.1540678
samw_M_L_oly_4X_4,Male,31685,60862,4354,69073,17808,73815,83181,0,0,0,697,1386,114,1628,414,1866,2083,0,0,0,393223,0.024027373,509.5193814,857.1850734,113.7409337
samw_M_L_oly_4X_40,Male,38096,69900,5273,79687,20526,87391,93869,0,0,0,816,1590,134,1841,475,2142,2314,0,0,0,451366,0.023590092,544.2177873,913.0718756,118.1185845
samw_M_L_oly_4X_41,Male,41677,77847,5480,85341,23569,94123,101615,0,0,0,889,1792,130,1948,521,2322,2490,0,0,0,489429,0.023488777,570.8984148,958.7300193,125.2996409
samw_M_L_oly_4X_42,Male,41093,77070,5330,87055,23431,95134,101974,0,0,0,897,1731,132,1983,555,2365,2427,0,0,0,490825,0.023405948,567.5852359,957.5724516,123.3693641
samw_M_L_oly_4X_43,Male,38152,73575,5204,82390,21897,90534,98142,0,0,0,764,1601,133,1874,495,2226,2469,0,0,0,471196,0.023327982,549.9972727,949.3094859,122.4295716
samw_M_L_oly_4X_44,Male,41800,76306,5427,84469,23064,93988,99369,0,0,0,902,1692,138,1891,511,2278,2397,0,0,0,485804,0.023111377,568.5710158,951.8499094,122.102416
samw_M_L_oly_4X_45,Male,31295,62224,4109,69792,17354,77756,79184,0,0,0,647,1457,103,1656,394,1892,1963,0,0,0,397154,0.02373915,465.7692562,845.0729258,117
samw_M_L_oly_4X_46,Male,43218,78699,6038,90006,24898,100078,108035,0,0,0,837,1702,149,2013,564,2394,2535,0,0,0,514992,0.022604508,582.6019224,977.2222112,124.2336508
samw_M_L_oly_4X_47,Male,39405,74839,4808,85463,21897,91196,98986,0,0,0,789,1650,115,1884,475,2176,2383,0,0,0,477332,0.022736765,563.951239,949.0758663,130.2689526
samw_M_L_oly_4X_48,Male,44165,77490,5307,91025,25718,95750,109783,0,0,0,885,1760,133,2027,579,2294,2638,0,0,0,512199,0.022963329,577.0008666,979.8307252,118.5326959
samw_M_L_oly_4X_49,Male,39765,74074,5321,83102,22570,91997,98165,0,0,0,827,1672,123,1884,516,2239,2418,0,0,0,475232,0.023323229,554.7071299,943.7128801,120.7476708
samw_M_L_oly_4X_5,Male,38441,64315,5079,79742,20552,87253,92112,0,0,0,812,1435,126,1872,469,2113,2283,0,0,0,451018,0.023510041,543.3231083,824.3198712,209.3083849
samw_M_L_oly_4X_50,Male,41153,74522,5510,84424,23689,93628,103939,0,0,0,812,1674,137,1929,530,2271,2450,0,0,0,489476,0.022965106,562.0756177,961.634286,119.9541579
samw_M_L_oly_4X_6,Male,40070,73979,5368,81518,21229,87353,94204,0,0,0,858,1704,140,1915,504,2175,2312,0,0,0,460920,0.023798613,552.4898189,939.4258885,120.3079382
samw_M_L_oly_4X_61,Male,39102,73401,5239,84174,22386,89831,98546,0,0,0,797,1686,119,1908,497,2148,2342,0,0,0,473901,0.023013044,549.8372486,950.9843584,119.6202324
samw_M_L_oly_4X_62,Male,35578,67063,4793,75813,20153,84539,88495,0,0,0,747,1567,128,1771,475,2126,2214,0,0,0,432596,0.023982956,535.9748128,899.8147031,114.3896848
samw_M_L_oly_4X_63,Male,40763,73456,5529,84346,22974,94219,102133,0,0,0,819,1610,149,1922,512,2305,2478,0,0,0,481953,0.023133059,560.3936117,951.7001891,122.8087945
samw_M_L_oly_4X_64,Male,39044,70028,4938,80915,21821,88287,97825,0,0,0,791,1512,129,1775,499,2119,2411,0,0,0,463537,0.022926192,544.1415257,935.9115877,114.437756
samw_M_L_oly_4X_66,Male,39419,73931,4734,82995,21534,89517,97118,0,0,0,845,1708,108,1887,495,2224,2391,0,0,0,467444,0.023599382,556.9524217,933.0837315,129.7112177
samw_M_L_oly_4X_7,Male,39860,74564,5230,84859,22493,93203,100808,0,0,0,797,1668,132,1955,508,2245,2454,0,0,0,484991,0.023179587,561.5870369,957.6622578,115.4512884
samw_M_L_oly_4X_72,Male,32278,61571,4052,70373,16848,79880,83484,0,0,0,696,1434,106,1669,383,1949,2063,0,0,0,404087,0.023817313,513.4685969,863.6702206,114.7693339
samw_M_L_oly_4X_73,Male,40273,74162,5392,84480,23277,91926,104297,0,0,0,838,1660,137,1920,496,2217,2475,0,0,0,480912,0.022989238,557.8906703,941.2535525,121.0784869
samw_M_L_oly_4X_74,Male,41157,73419,5435,83995,23327,93073,99846,0,0,0,846,1652,136,1945,539,2252,2399,0,0,0,483488,0.023245576,554.495266,956.4027656,120.1540678
samw_M_L_oly_4X_75,Male,42053,77887,5705,87573,22394,96212,105641,0,0,0,850,1784,134,1989,517,2363,2579,0,0,0,496030,0.023352725,566.0388679,970.2299985,119.0126044
samw_M_L_oly_4X_77,Male,43807,78212,5719,88932,23815,96283,106746,0,0,0,921,1760,143,2003,526,2374,2590,0,0,0,502444,0.023261949,576.6402691,976.3591808,115.3169545
samw_M_L_oly_4X_78,Male,38349,72073,5096,81464,21099,91307,98356,0,0,0,797,1591,130,1811,472,2201,2332,0,0,0,462050,0.022891814,553.7734194,935.3608929,120.420098
samw_M_L_oly_4X_79,Male,37320,70036,5056,79331,20409,84926,89699,0,0,0,800,1638,127,1906,464,2172,2247,0,0,0,444064,0.024184478,541.4240482,913.8503707,115.7410904
samw_M_L_oly_4X_80,Male,42277,76619,5580,87503,23604,93643,106200,0,0,0,833,1693,140,1957,556,2235,2546,0,0,0,495031,0.022874151,565.3326454,967.0206823,117.2731853
samw_M_L_oly_4X_9,Male,41027,75783,5352,84478,22632,91513,96380,0,0,0,859,1670,126,1958,543,2263,2346,0,0,0,479705,0.023408004,560.4400057,951.6475188,120.503112
samw_M_L_oly_4X_94,Male,42863,77500,5178,88001,23652,95374,105843,0,0,0,868,1754,128,2036,515,2365,2513,0,0,0,498490,0.023217939,570.094729,975.1279403,132.9661611
samw_M_L_oly_4X_95,Male,38230,70708,4763,81687,21072,88669,98244,0,0,0,788,1628,114,1941,487,2181,2381,0,0,0,459061,0.023600985,549.8672567,933.5483383,108.6324077
samw_M_L_oly_4X_96,Male,39264,72331,5152,80176,21977,89970,97328,0,0,0,834,1645,126,1868,514,2208,2373,0,0,0,463060,0.023555015,559.1287866,926.2495614,129.5221989
samw_M_L_oly_4X_97,Male,36139,68636,4527,77900,20685,84777,91864,0,0,0,762,1541,122,1836,474,2112,2237,0,0,0,440386,0.023623767,537.9386582,904.4812049,116.7775663
samw_M_L_oly_4X_98,Male,40742,75317,5033,83106,22579,91429,96462,0,0,0,820,1624,123,1762,489,2142,2340,0,0,0,473584,0.022427581,565,944.2553945,119.9708298
